Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1-19_years,thinness_5-9_years,Income_composition_of_resources,Schooling
Albania,-0.49528236639155804,Developing,0.5089872203713329,-0.55268302588735,-0.46142287638941054,0.17197273856750592,-0.5374016465296105,0.6789829190200364,-0.2743772184316199,-1.722151934115751,-0.4741977770411696,0.6573572023863354,-0.06881609224220832,0.6553547074539786,-0.3754773823108863,-0.6365213039582277,-0.2866960826822571,-0.7076677264460842,-0.6929212751172783,0.25650030227080206,-0.34950476821613297
Albania,-0.739235880192678,Developing,0.41847788420321597,-1.3556855692315428,-0.46142287638941054,0.13450401259262385,-0.5114512973826019,0.6789829190200364,-0.2945080038141065,0.5300198917524712,-0.4741977770411696,0.6573572023863354,0.0507927450798452,0.7421878599412046,-0.3754773823108863,-0.6009143117291703,-0.3988003614825923,-0.6804286213820678,-0.6929212751172783,0.1784261417520725,-0.5763341247474825
Albania,-0.9831893939937981,Developing,0.3538283583688469,-1.336566461056681,-0.46142287638941054,-0.02036672143688935,-0.29801901574612416,0.7267074308456697,-0.29418331372729223,0.478950235837092,-0.4741977770411696,0.743090777462503,0.1704015824018987,0.6553547074539786,-0.3754773823108863,-0.28901371003875503,-0.3981542605687661,-0.6804286213820678,-0.6659983377087277,0.15003553792707963,-0.5385292319922577
Albania,-1.2271429077949183,Developing,0.32796854803509895,-1.32700690696925,-0.46142287638941054,-0.08281459806169304,-0.5248956721313927,0.6312584071944032,-0.29385862364047793,0.4278805799217128,-0.4741977770411696,0.6573572023863354,0.11979784353487588,0.6553547074539786,-0.3754773823108863,-0.6139687072388162,-0.3976241918860989,-0.6531895163180513,-0.6390754003001771,0.10035198123334213,-0.6141390175027079
Albania,-1.4710964215960383,Developing,0.39261807386946795,-1.3556855692315428,-0.46142287638941054,-0.2226978417012533,-0.4265341427144775,0.5835338953687699,-0.2912611029459635,0.37681092400633365,-0.4741977770411696,0.743090777462503,0.1335988632258822,0.7421878599412046,-0.3754773823108863,-0.42952877593690564,-0.4116778902838172,-0.6259504112540348,-0.6121524628916264,0.07196137740834926,-0.6141390175027079
Albania,-1.7150499353971584,Developing,0.431407789370089,-1.3652451233189735,-0.46142287638941054,-0.09280625832166164,-0.43563813160869613,0.5835338953687699,-0.29061172277233493,0.33084823368249244,-0.4741977770411696,0.6573572023863354,-0.004411333684179596,0.6553547074539786,-0.3754773823108863,-0.44801264448180855,-0.41031218046972256,-0.5987113061900183,-0.6121524628916264,0.015180169758363542,-0.6519439102579327
Albania,-1.9590034491982784,Developing,0.30210873770135094,-1.3939237855812663,-0.46142287638941054,-0.24018324715619832,-0.44056075267317274,0.5835338953687699,-0.08151130686392549,0.27977857776711323,-0.4741977770411696,0.6573572023863354,0.11519750363787393,0.6553547074539786,-0.3754773823108863,-0.4700737976000032,-0.41019702632031296,-0.5987113061900183,-0.5852295254830758,-0.02740573597912575,-0.6141390175027079
Algeria,1.4563457440174026,Developing,0.664146082373819,-1.3939237855812663,0.2039049172084653,-1.1519222458783323,-0.4816088509285344,0.5358093835431367,-0.29645614433499234,0.9641119670331942,0.09513890330892351,0.4858900522340005,0.5522297938530699,0.4816884024795266,-0.3754773823108863,-0.5617037520139119,1.2236365552093484,0.4636137913066252,0.3839962212247463,0.5758945953019717,0.7846420144406153
Algeria,1.2123922302162824,Developing,0.6512161772069441,-0.42840882275074865,0.2039049172084653,-1.0220306624987405,0.05535569801554605,0.5358093835431367,-0.2883388921646348,0.9028283799347395,0.09513890330892351,0.4858900522340005,0.5108267347800514,0.4816884024795266,-0.3754773823108863,0.15681908407643336,1.1912415688588607,0.4363746862426088,0.3839962212247463,0.5475039914769789,0.7846420144406153
Algeria,0.9684387164151624,Developing,0.6253563668731962,-0.4188492686633178,0.2039049172084653,-0.9895577666538427,0.0679254289969647,0.5358093835431367,-0.29061172277233493,0.8466517584278223,0.09513890330892351,0.4858900522340005,0.05999342487384913,0.4816884024795266,-0.3754773823108863,0.170383845203568,1.1589317146246396,0.4363746862426088,0.3839962212247463,0.5120157366957379,0.7846420144406153
Algeria,0.7244852026140424,Developing,0.59949655653945,-0.3901706064010252,0.2039049172084653,-1.014536917303764,0.016526290885700005,0.5358093835431367,-0.2600908546117907,0.7904751369209051,0.09513890330892351,0.4858900522340005,-0.33103546637132597,0.4816884024795266,-0.3754773823108863,0.1510384562597019,1.1277268217383845,0.4363746862426088,0.3839962212247463,0.4552345290457521,0.6334224434197154
Algeria,0.4805316888129223,Developing,0.573636746205702,-0.3614919441387326,0.2039049172084653,-1.0420139830186776,-0.06922406724617791,0.5358093835431367,-0.2630130653931194,0.7342985154139879,0.09513890330892351,0.4858900522340005,-0.409241244620361,0.4816884024795266,-0.3754773823108863,0.009660674276539155,1.0983771065213397,0.4363746862426088,0.3839962212247463,0.38425801948327,0.4822028723988155
